Id,Year,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Player_Type,Position_Type,Position,Drafted
31,2016,23.0,North Carolina St.,1.9558,137.8920805,4.95,72.39,28.0,279.4,7.47,4.54,offense,offensive_lineman,OT,1.0
32,2018,21.0,Virginia Tech,1.8796,99.7903214,4.47,105.41,,340.36,,,defense,defensive_back,S,1.0
33,2013,22.0,South Carolina,1.8542,110.2229459,4.76,83.82,15.0,287.02,7.3,4.26,defense,line_backer,OLB,1.0
34,2016,,Southern Utah,1.905,112.4909078,4.82,80.01,21.0,281.94,6.8,4.31,defense,defensive_lineman,DE,0.0
35,2016,22.0,Northwestern,1.8542,108.4085764,4.6,97.79,30.0,312.42,7.12,4.12,offense,backs_receivers,FB,1.0
36,2018,21.0,Stanford,1.8796,92.98643585,,99.06,11.0,325.12,6.72,4.23,defense,defensive_back,DB,0.0
37,2015,,Arkansas,1.9304,115.6660544,4.72,,15.0,,,,offense,backs_receivers,TE,0.0
38,2014,22.0,Purdue,1.7526,84.82177319,4.61,90.17,13.0,297.18,,4.15,defense,defensive_back,CB,1.0
39,2013,21.0,USC,1.8542,91.62565874,4.64,91.44,17.0,309.88,6.68,4.34,defense,defensive_back,SS,0.0
40,2016,21.0,Houston,1.7526,82.55381134,4.72,83.82,,312.42,,,offense,backs_receivers,WR,1.0
41,2010,22.0,Miami (FL),1.8288,96.16158244,4.58,91.44,21.0,292.1,,,offense,backs_receivers,RB,0.0
42,2018,23.0,Virginia Tech,1.9304,142.4280042,5.24,73.66,30.0,289.56,7.45,4.84,offense,offensive_lineman,OG,1.0
43,2009,22.0,USC,1.8542,102.965468,4.75,,32.0,,,,defense,line_backer,OLB,1.0
44,2013,22.0,Notre Dame,1.9558,113.3980925,4.68,90.17,22.0,302.26,6.92,4.32,offense,backs_receivers,TE,1.0
45,2019,,Appalachian St.,1.778,96.16158244,,,27.0,,,,offense,backs_receivers,RB,0.0
46,2010,23.0,Iowa,1.8288,106.594207,4.71,88.9,26.0,279.4,7.04,4.29,defense,line_backer,ILB,1.0
47,2015,22.0,South Carolina,1.8542,137.8920805,5.19,76.2,29.0,269.24,7.78,4.71,defense,defensive_lineman,DT,0.0
48,2009,21.0,Florida St.,1.8542,116.1196467,4.65,80.01,26.0,289.56,7.55,4.53,defense,defensive_lineman,DE,1.0
49,2009,21.0,Vanderbilt,1.7526,87.08973504,4.56,100.33,17.0,299.72,7.01,4.28,defense,defensive_back,CB,1.0
50,2009,,Mississippi St.,1.778,90.26488163,4.54,91.44,23.0,302.26,7.08,4.3,defense,defensive_back,FS,0.0
51,2012,22.0,Virginia,1.778,83.00740371,4.63,,7.0,,,,defense,defensive_back,CB,0.0
52,2014,21.0,Ohio St.,1.8034,87.99691978,4.39,97.79,17.0,314.96,,4.04,defense,defensive_back,CB,1.0
53,2011,23.0,East Carolina,1.778,92.07925111,4.53,86.36,10.0,281.94,6.77,4.21,offense,backs_receivers,WR,1.0
54,2012,,Pittsburgh,1.8796,115.212462,4.85,83.82,23.0,297.18,7.36,4.28,defense,line_backer,OLB,0.0
55,2012,22.0,Iowa,1.905,97.97595192,4.48,93.98,,309.88,7.15,4.07,offense,backs_receivers,WR,1.0
56,2013,21.0,Utah St.,1.7272,88.45051215,4.48,88.9,17.0,299.72,7.15,4.15,offense,backs_receivers,RB,1.0
57,2016,20.0,Miami (FL),1.8288,87.54332741,4.46,80.01,,,,,defense,defensive_back,CB,1.0
58,2011,23.0,New Mexico,1.9812,118.3876086,4.63,91.44,18.0,302.26,6.83,4.25,offense,backs_receivers,TE,0.0
59,2015,22.0,Oklahoma,1.905,118.8412009,4.81,93.98,20.0,297.18,7.24,4.38,defense,line_backer,OLB,1.0
60,2009,22.0,Central Arkansas,1.8796,112.0373154,4.55,88.9,22.0,276.86,,,offense,backs_receivers,FB,0.0
61,2010,21.0,Kentucky,1.905,136.077711,4.98,83.82,,248.92,7.56,4.76,defense,defensive_lineman,DT,1.0
62,2012,,Pittsburgh,1.778,85.27536556,4.58,92.71,14.0,314.96,,4.2,defense,defensive_back,CB,0.0
63,2013,22.0,Connecticut,1.8542,111.1301307,4.65,96.52,29.0,322.58,7.49,4.31,defense,line_backer,OLB,1.0
64,2011,22.0,Michigan St.,1.8288,109.7693535,4.75,80.01,21.0,297.18,7.27,4.27,defense,line_backer,ILB,1.0
65,2010,22.0,Clemson,1.8034,88.90410452,4.37,,18.0,,,,offense,backs_receivers,RB,1.0
66,2014,24.0,Alabama,1.905,130.1810102,4.98,,,,,,defense,defensive_lineman,DE,1.0
67,2010,21.0,Georgia,1.8542,132.9025644,4.75,83.82,34.0,297.18,7.33,4.43,defense,defensive_lineman,DT,1.0
68,2017,21.0,Miami (FL),1.9304,97.06876718,,,,,,,offense,backs_receivers,QB,1.0
69,2016,23.0,Texas Tech,1.7272,92.53284348,4.49,87.63,24.0,294.64,7.03,4.2,offense,backs_receivers,RB,1.0
70,2012,22.0,Baylor,1.8796,101.1510985,4.33,99.06,,304.8,,,offense,backs_receivers,QB,1.0
71,2011,21.0,West Virginia,1.9304,98.42954429,4.53,88.9,12.0,314.96,7.03,4.06,defense,defensive_back,FS,1.0
72,2018,,North Dakota St.,1.905,113.8516849,4.85,74.93,18.0,284.48,7.09,4.23,defense,line_backer,OLB,0.0
73,2015,22.0,Arizona St.,1.8034,88.90410452,4.46,96.52,14.0,304.8,6.83,4.07,defense,defensive_back,FS,1.0
74,2014,22.0,Western Kentucky,1.905,86.1825503,4.52,85.09,8.0,299.72,7.04,4.24,defense,defensive_back,FS,1.0
75,2015,22.0,Notre Dame,1.8542,107.0477993,5.17,,14.0,,,,special_teams,kicking_specialist,K,0.0
76,2017,22.0,Michigan,1.8542,85.27536556,4.6,80.01,5.0,289.56,6.94,4.56,defense,defensive_back,CB,0.0
77,2010,23.0,Louisiana-Lafayette,1.9304,122.9235323,4.84,,28.0,,,,defense,defensive_lineman,DE,1.0
78,2013,22.0,Stanford,1.9558,112.9445001,4.76,77.47,24.0,281.94,7.08,4.47,offense,backs_receivers,TE,1.0
79,2014,22.0,Virginia Tech,1.8288,86.1825503,4.49,97.79,12.0,325.12,6.9,4.19,defense,defensive_back,CB,1.0
80,2012,23.0,Oregon,1.778,95.70799007,4.53,85.09,22.0,294.64,7.12,4.28,defense,defensive_back,SS,0.0
81,2009,21.0,Arkansas St.,1.8542,117.9340162,4.73,82.55,21.0,287.02,7.28,4.43,offense,backs_receivers,FB,1.0
82,2018,22.0,UCLA,2.0574,140.1600423,4.95,80.01,24.0,307.34,7.34,4.49,offense,offensive_lineman,OT,1.0
83,2016,21.0,Penn St.,1.9304,142.4280042,5.32,66.04,25.0,243.84,7.84,4.75,defense,defensive_lineman,DT,1.0
84,2019,,Syracuse,1.9304,97.06876718,4.5,87.63,,314.96,,,offense,backs_receivers,WR,0.0
85,2011,23.0,Georgia,1.8796,127.459456,4.87,78.74,,271.78,7.22,4.37,defense,defensive_lineman,DE,0.0
86,2013,22.0,Cincinnati,1.778,98.88313666,4.75,87.63,22.0,302.26,,,offense,backs_receivers,RB,0.0
87,2012,21.0,Missouri,1.905,114.7588696,4.75,80.01,21.0,279.4,7.25,4.31,defense,defensive_lineman,DE,0.0
88,2012,22.0,Ohio,1.8034,87.08973504,4.43,82.55,11.0,,,,offense,backs_receivers,WR,1.0
89,2011,22.0,Iowa,1.8796,112.4909078,4.9,71.12,14.0,274.32,7.31,4.59,offense,backs_receivers,FB,0.0
90,2018,21.0,Auburn,1.9812,142.8815966,5.22,85.09,35.0,287.02,,4.77,offense,offensive_lineman,OG,1.0
91,2011,23.0,Wisconsin,1.8796,96.16158244,4.92,74.93,,294.64,6.84,4.12,offense,backs_receivers,QB,0.0
92,2009,,Georgia,1.8288,109.7693535,4.69,96.52,28.0,304.8,7.4,4.4,offense,backs_receivers,FB,0.0
93,2017,22.0,South Alabama,1.905,108.4085764,4.62,95.25,22.0,320.04,6.99,4.33,offense,backs_receivers,TE,1.0
94,2019,,Utah St.,1.9558,115.6660544,4.73,81.28,15.0,276.86,7.15,4.39,offense,backs_receivers,TE,0.0
95,2015,21.0,Florida St.,1.9304,104.7798375,4.97,72.39,,261.62,7.16,4.36,offense,backs_receivers,QB,1.0
96,2017,22.0,Texas A&M,1.905,87.99691978,4.52,93.98,,314.96,6.83,4.13,offense,backs_receivers,WR,1.0
97,2009,23.0,Southern Miss,1.9558,108.8621688,4.52,83.82,19.0,292.1,6.96,4.46,offense,backs_receivers,TE,1.0
98,2016,23.0,Duke,1.9304,96.16158244,5.1,,,,,,special_teams,kicking_specialist,P,0.0
99,2014,22.0,USC,1.8288,91.17206637,4.66,86.36,,287.02,6.97,4.15,defense,defensive_back,FS,0.0
100,2015,,Clemson,1.8288,86.63614267,4.61,82.55,7.0,302.26,6.8,4.0,defense,defensive_back,CB,0.0
101,2015,20.0,Virginia,1.9558,113.8516849,4.83,92.71,,307.34,7.59,4.37,defense,line_backer,OLB,1.0
102,2016,21.0,Northwestern,1.9812,134.2633415,4.87,82.55,30.0,289.56,7.26,4.38,defense,defensive_lineman,DE,1.0
103,2016,,Boston Col.,1.8796,131.9953797,4.91,87.63,22.0,297.18,7.32,4.27,defense,defensive_lineman,DT,0.0
104,2017,22.0,Louisiana Tech,1.8034,90.26488163,4.46,91.44,13.0,332.74,7.18,4.35,offense,backs_receivers,WR,1.0
105,2019,21.0,West Virginia,1.8542,97.06876718,4.42,93.98,20.0,322.58,7.32,4.15,offense,backs_receivers,WR,1.0
106,2019,23.0,Clemson,1.778,83.46099608,4.59,88.9,7.0,294.64,6.8,4.19,offense,backs_receivers,WR,1.0
107,2014,21.0,Stanford,1.9558,146.5103355,5.28,59.69,26.0,246.38,8.24,5.0,offense,offensive_lineman,OT,1.0
108,2017,23.0,Kentucky,1.9558,139.2528576,5.51,64.77,21.0,254.0,8.09,4.84,offense,offensive_lineman,C,0.0
109,2011,22.0,South Carolina,1.8288,90.26488163,4.36,97.79,,312.42,6.88,4.08,defense,defensive_back,CB,1.0
110,2011,22.0,California,1.8796,89.35769689,4.52,90.17,18.0,322.58,7.01,4.19,defense,defensive_back,FS,1.0
111,2018,,Alabama,1.8288,89.81128926,4.35,80.01,14.0,320.04,6.78,4.11,defense,defensive_back,CB,0.0
112,2018,23.0,Nebraska,1.9304,98.88313666,4.98,81.28,,292.1,7.0,4.41,offense,backs_receivers,QB,1.0
113,2013,22.0,Penn St.,1.8542,137.4384881,5.23,57.15,28.0,261.62,7.49,4.51,defense,defensive_lineman,DT,1.0
114,2016,23.0,Auburn,1.8542,112.4909078,4.83,,21.0,,,,defense,line_backer,ILB,0.0
115,2009,,Kentucky,1.8288,95.2543977,4.49,93.98,16.0,304.8,7.45,4.22,defense,defensive_back,FS,0.0
116,2018,22.0,Richmond,1.905,100.6975061,4.81,78.74,,287.02,6.95,4.07,offense,backs_receivers,QB,1.0
117,2013,20.0,USC,1.8288,91.17206637,4.51,85.09,14.0,297.18,7.15,4.47,offense,backs_receivers,WR,1.0
118,2017,20.0,Tennessee,1.905,94.34721296,4.4,77.47,10.0,307.34,7.05,4.19,offense,backs_receivers,WR,1.0
119,2010,21.0,Notre Dame,1.778,90.26488163,4.42,88.9,17.0,304.8,7.12,4.34,offense,backs_receivers,WR,1.0
120,2018,,San Diego St.,1.9812,116.1196467,4.75,83.82,20.0,294.64,7.5,4.59,offense,backs_receivers,TE,0.0
121,2009,23.0,Colorado St.,1.9558,107.9549841,4.69,85.09,20.0,309.88,7.0,4.24,offense,backs_receivers,TE,0.0
122,2012,23.0,Pittsburgh,1.9304,134.2633415,5.31,64.77,19.0,251.46,7.74,4.62,defense,defensive_lineman,DT,0.0
123,2009,,Washington,1.8796,139.2528576,5.28,63.5,34.0,236.22,8.0,4.87,offense,offensive_lineman,OG,0.0
124,2013,,East. Kentucky,1.9304,92.98643585,4.5,91.44,10.0,312.42,6.9,4.39,offense,backs_receivers,WR,0.0
125,2014,22.0,Penn St.,1.9304,146.0567431,5.35,69.85,25.0,256.54,7.73,4.78,defense,defensive_lineman,DT,1.0
126,2010,,LSU,1.9304,148.324705,5.53,64.77,23.0,231.14,8.52,5.13,offense,offensive_lineman,OG,0.0
127,2009,21.0,USC,1.8034,103.8726527,4.65,,30.0,279.4,6.98,4.2,defense,line_backer,OLB,1.0
128,2012,24.0,Oklahoma,1.8542,111.583723,4.83,91.44,22.0,309.88,,,defense,line_backer,OLB,1.0
129,2015,,TCU,1.8288,88.45051215,4.81,81.28,,279.4,7.12,4.2,defense,defensive_back,FS,0.0
130,2017,22.0,Wisconsin,1.9812,140.6136347,,,25.0,,,,offense,offensive_lineman,OT,1.0
131,2011,21.0,Clemson,1.905,127.0058636,4.92,,22.0,,,,defense,defensive_lineman,DE,1.0
132,2016,22.0,Georgia Tech,1.8034,87.54332741,4.49,83.82,17.0,335.28,7.18,4.33,defense,defensive_back,CB,1.0
133,2009,23.0,Texas A&M,1.905,102.0582833,4.61,83.82,,284.48,7.34,4.49,offense,backs_receivers,QB,1.0
134,2014,,San Diego St.,1.778,91.62565874,4.56,,,,,,offense,backs_receivers,RB,0.0
135,2014,22.0,Utah St.,1.7526,86.1825503,4.48,83.82,16.0,304.8,7.12,4.4,defense,defensive_back,CB,1.0
136,2019,22.0,Texas A&M,1.9304,113.8516849,4.75,80.01,17.0,287.02,7.19,4.31,offense,backs_receivers,TE,1.0
137,2019,21.0,Mississippi,1.905,100.2439138,4.77,69.85,,276.86,7.06,4.36,offense,backs_receivers,QB,0.0
138,2018,20.0,USC,1.905,100.2439138,4.85,67.31,,266.7,6.96,4.4,offense,backs_receivers,QB,1.0
139,2018,23.0,Illinois St.,1.8288,90.718474,4.43,82.55,22.0,312.42,6.96,4.4,defense,defensive_back,CB,1.0
140,2019,,Nebraska,1.8288,91.62565874,4.53,97.79,14.0,317.5,6.78,4.13,offense,backs_receivers,WR,0.0
141,2019,22.0,Missouri,1.9304,103.4190604,4.69,78.74,,284.48,7.03,4.12,offense,backs_receivers,QB,1.0
142,2010,23.0,LSU,1.8034,105.6870222,4.52,,,,,,offense,backs_receivers,RB,0.0
143,2012,23.0,West. Michigan,1.8288,94.34721296,4.63,88.9,14.0,302.26,6.84,4.13,offense,backs_receivers,WR,1.0
144,2018,23.0,South Dakota St.,1.9558,116.1196467,,,23.0,,,,offense,backs_receivers,TE,1.0
145,2014,23.0,Tulane,1.8288,90.26488163,4.64,90.17,8.0,302.26,6.68,4.11,offense,backs_receivers,WR,1.0
146,2016,22.0,Syracuse,1.9304,100.2439138,5.04,,,,,,special_teams,kicking_specialist,P,1.0
147,2019,21.0,Penn St.,1.8034,95.70799007,4.49,91.44,20.0,314.96,6.89,4.19,offense,backs_receivers,RB,1.0
148,2011,22.0,Slippery Rock,1.9304,138.7992652,5.18,72.39,26.0,274.32,7.29,4.43,offense,offensive_lineman,C,1.0
149,2016,23.0,Clemson,1.8796,94.80080533,4.45,90.17,12.0,309.88,6.96,4.46,offense,backs_receivers,WR,1.0
150,2009,23.0,Georgia,1.8542,107.0477993,4.63,88.9,,299.72,7.0,4.23,defense,line_backer,ILB,0.0
151,2014,21.0,Tennessee,1.9304,138.7992652,5.17,69.85,22.0,266.7,8.16,4.63,offense,offensive_lineman,C,0.0
152,2010,21.0,Appalachian St.,1.8034,84.82177319,4.41,,,,,,offense,backs_receivers,WR,1.0
153,2011,22.0,Nevada,1.905,112.9445001,4.54,107.95,23.0,330.2,6.9,4.4,offense,backs_receivers,TE,1.0
154,2017,23.0,San Diego St.,1.9558,123.830717,,71.12,17.0,269.24,7.9,4.84,offense,offensive_lineman,OT,0.0
155,2015,,Oregon,1.9304,112.0373154,4.99,82.55,17.0,279.4,7.2,4.31,defense,line_backer,OLB,0.0
156,2010,22.0,Arkansas,1.905,140.6136347,5.34,,45.0,,,,offense,offensive_lineman,OG,1.0
157,2018,23.0,Tulane,1.8288,81.6466266,4.32,,15.0,,,,defense,defensive_back,CB,1.0
158,2011,22.0,Miami (FL),1.778,95.70799007,4.58,85.09,23.0,304.8,7.0,4.12,offense,backs_receivers,RB,0.0
159,2010,22.0,Mississippi St.,1.8542,105.6870222,4.67,83.82,15.0,307.34,7.09,4.49,offense,backs_receivers,RB,1.0
160,2013,23.0,South Carolina,2.0066,120.6555704,4.72,88.9,14.0,325.12,6.89,4.3,defense,defensive_lineman,DE,1.0
161,2012,23.0,Penn St.,1.8796,109.3157612,4.65,78.74,21.0,294.64,6.84,4.28,defense,line_backer,OLB,1.0
162,2013,23.0,North Carolina,1.8542,110.2229459,4.72,,23.0,287.02,,,defense,line_backer,ILB,0.0
163,2011,23.0,Arizona,1.9304,115.6660544,4.88,80.01,26.0,269.24,7.25,4.32,defense,defensive_lineman,DE,1.0
164,2012,21.0,Kentucky,1.8288,107.5013917,4.84,80.01,18.0,281.94,,,defense,line_backer,OLB,1.0
165,2015,23.0,Ohio St.,1.8288,88.90410452,4.42,99.06,10.0,309.88,,4.15,offense,backs_receivers,WR,1.0
166,2010,22.0,Oklahoma,1.9304,107.0477993,4.79,,,,,,offense,backs_receivers,QB,1.0
167,2009,23.0,Texas A&M,1.905,124.2843094,4.86,78.74,24.0,279.4,,,defense,defensive_lineman,DE,0.0
168,2011,22.0,Ohio St.,1.778,103.8726527,4.53,83.82,28.0,292.1,6.89,4.26,defense,line_backer,OLB,1.0
169,2019,,Kentucky,1.9304,112.9445001,,,,,,,offense,backs_receivers,TE,0.0
170,2018,,Auburn,1.8288,105.6870222,4.74,85.09,22.0,294.64,,,offense,backs_receivers,RB,0.0
171,2016,23.0,Ohio St.,1.905,96.16158244,4.57,88.9,18.0,320.04,6.8,4.13,offense,backs_receivers,WR,1.0
172,2013,,Iowa,1.905,102.5118756,4.92,81.28,,294.64,6.95,4.52,offense,backs_receivers,QB,0.0
173,2009,23.0,South Florida,1.8796,110.2229459,4.76,,27.0,284.48,,,defense,line_backer,OLB,1.0
174,2014,,Utah St.,1.905,121.1091628,4.95,,,,,,offense,backs_receivers,TE,0.0
175,2011,21.0,USC,1.8542,136.077711,5.04,69.85,26.0,256.54,7.51,4.78,defense,defensive_lineman,DT,1.0
176,2011,,Boise St.,1.9304,121.5627552,4.96,76.2,18.0,281.94,7.01,4.37,defense,defensive_lineman,DE,0.0
177,2009,,Central Washington,1.905,97.06876718,4.74,77.47,,276.86,6.76,4.11,offense,backs_receivers,QB,0.0
178,2018,21.0,Notre Dame,1.8796,96.61517481,,,18.0,,,,offense,backs_receivers,RB,0.0
179,2010,22.0,Notre Dame,2.032,143.3351889,5.2,74.93,29.0,264.16,7.73,4.87,offense,offensive_lineman,OT,1.0
180,2009,21.0,Connecticut,1.778,95.2543977,4.46,105.41,,317.5,6.93,4.1,offense,backs_receivers,RB,1.0
181,2013,21.0,Marshall,1.905,95.2543977,4.37,,,,,,offense,backs_receivers,WR,1.0
182,2014,21.0,North Carolina,1.905,140.6136347,5.18,73.66,42.0,276.86,8.26,4.66,offense,offensive_lineman,OG,1.0
183,2016,22.0,TCU,1.778,93.89362059,4.5,95.25,,312.42,7.05,4.29,defense,defensive_back,FS,1.0
184,2013,21.0,Texas A&M,1.9812,138.7992652,5.3,72.39,27.0,269.24,7.4,4.68,offense,offensive_lineman,OT,1.0
185,2010,24.0,Texas,1.8034,87.54332741,4.6,92.71,16.0,294.64,,,offense,backs_receivers,WR,1.0
186,2010,,Tulane,1.8288,93.44002822,4.59,91.44,14.0,297.18,6.73,,offense,backs_receivers,WR,0.0
187,2013,22.0,South Carolina,1.9304,140.6136347,5.33,64.77,32.0,243.84,7.83,4.74,offense,offensive_lineman,C,1.0
188,2014,23.0,Nebraska,1.905,98.88313666,4.61,105.41,13.0,325.12,,4.33,defense,defensive_back,CB,1.0
189,2015,22.0,South Carolina,1.9558,110.6765383,4.73,,,,,,offense,backs_receivers,TE,1.0
190,2011,21.0,Stanford,1.8542,91.62565874,4.53,97.79,18.0,312.42,6.67,4.09,offense,backs_receivers,WR,1.0
191,2009,21.0,Nevada,1.8542,110.2229459,4.61,,,,,,defense,line_backer,ILB,0.0
192,2015,23.0,Michigan St.,1.8542,94.34721296,4.65,100.33,,302.26,7.09,4.33,defense,defensive_back,FS,0.0
193,2011,21.0,Nebraska,1.8542,94.80080533,4.62,87.63,18.0,307.34,6.73,4.19,defense,defensive_back,FS,1.0
194,2014,,SMU,1.7526,93.89362059,4.75,81.28,20.0,287.02,7.07,,offense,backs_receivers,RB,0.0
195,2009,21.0,Wisconsin,1.8796,107.0477993,4.56,,19.0,302.26,,,defense,line_backer,OLB,1.0
196,2014,22.0,Tulane,1.7272,74.38914868,4.76,,,,,,special_teams,kicking_specialist,K,0.0
197,2019,23.0,Penn St.,1.8288,91.62565874,4.57,83.82,,292.1,7.09,4.12,offense,backs_receivers,QB,1.0
198,2010,22.0,Northwestern,1.8034,88.45051215,4.48,,,,,,defense,defensive_back,CB,1.0
199,2010,21.0,Florida,1.8034,93.44002822,4.44,95.25,14.0,302.26,6.95,4.36,defense,defensive_back,FS,1.0
200,2014,21.0,Washington St.,1.8542,95.70799007,4.49,92.71,19.0,317.5,6.96,4.26,defense,defensive_back,SS,1.0
201,2016,23.0,Iowa,1.8796,135.1705263,5.36,69.85,29.0,251.46,7.52,4.53,offense,offensive_lineman,C,1.0
202,2009,22.0,Tennessee,1.8542,102.5118756,4.69,,23.0,,,,offense,backs_receivers,RB,0.0
203,2015,22.0,Oregon St.,1.778,89.35769689,4.49,87.63,19.0,292.1,6.88,4.07,defense,defensive_back,CB,1.0
204,2013,23.0,Miami (OH),1.905,104.7798375,4.81,,,,,,offense,backs_receivers,QB,1.0
205,2016,21.0,Boise St.,1.905,110.2229459,4.69,83.82,21.0,274.32,,,defense,defensive_lineman,DE,1.0
206,2011,21.0,Penn St.,1.905,141.9744118,5.29,72.39,30.0,254.0,7.51,4.63,offense,offensive_lineman,C,1.0
207,2011,22.0,Hawaii,1.8542,95.2543977,4.53,93.98,15.0,304.8,6.65,4.1,offense,backs_receivers,WR,1.0
208,2009,24.0,Fresno St.,1.9558,99.7903214,4.87,72.39,,269.24,6.93,4.37,offense,backs_receivers,QB,1.0
209,2013,22.0,Virginia Tech,1.8796,92.53284348,4.43,80.01,12.0,304.8,,,offense,backs_receivers,WR,1.0
210,2014,22.0,Oklahoma St.,1.8288,91.62565874,4.37,90.17,20.0,320.04,6.92,,defense,defensive_back,CB,1.0
211,2016,,Liberty,1.8542,97.06876718,4.74,,,,,,special_teams,kicking_specialist,K,0.0
212,2013,23.0,Alabama A&M,1.9558,141.9744118,5.37,58.42,17.0,233.68,8.12,4.74,offense,offensive_lineman,OG,0.0
213,2018,22.0,North Carolina St.,1.9304,141.0672271,4.99,67.31,35.0,256.54,7.28,4.53,defense,defensive_lineman,DT,1.0
214,2015,21.0,Alabama,1.8288,103.4190604,4.53,88.9,,304.8,7.38,4.33,defense,defensive_back,SS,1.0
215,2019,,Texas,1.9304,95.2543977,4.75,85.09,13.0,302.26,7.09,4.29,offense,backs_receivers,WR,0.0
216,2012,21.0,Mississippi St.,1.778,99.33672903,4.59,83.82,23.0,292.1,7.03,4.19,offense,backs_receivers,RB,1.0
217,2016,23.0,Duke,1.8288,96.16158244,4.56,,,,,,defense,defensive_back,SS,0.0
218,2013,22.0,Houston,1.8034,86.63614267,4.4,,,,,,defense,defensive_back,CB,1.0
219,2009,22.0,Missouri,1.8288,98.88313666,4.79,83.82,,,7.28,4.31,offense,backs_receivers,QB,0.0
220,2015,22.0,East Carolina,1.8796,95.70799007,4.59,,12.0,,,,offense,backs_receivers,WR,0.0
221,2010,,California,1.8542,92.53284348,4.66,91.44,14.0,284.48,7.35,4.69,offense,backs_receivers,WR,0.0
